entity_id,2017-04-20,2017-04-24,2017-04-25,2017-04-26,2017-04-28,2017-05-01,2017-05-03,2017-05-05,2017-05-08,2017-05-10,2017-05-12,2017-05-15
17ASH20001,40,70,,100,100,100,100,100,100,100,100,100
17ASH20002,0,20,,40,60,90,100,100,100,100,100,100
17ASH20003,0,0,,0,0,10,40,60,100,100,100,100
17ASH20004,10,30,,40,50,80,100,100,100,100,100,100
17ASH20005,0,20,,40,50,80,90,100,100,100,100,100
17ASH20006,0,0,,0,0,0,10,10,10,10,10,10
17ASH20007,0,0,,10,30,50,70,90,100,100,100,100
17ASH20008,0,10,,10,20,50,70,90,100,100,100,100
17ASH20009,0,0,,0,10,40,60,80,100,100,100,100
17ASH20010,0,10,,30,20,30,40,40,30,30,40,50
17ASH20011,0,0,,0,20,40,60,80,100,100,100,100
17ASH20012,0,0,,0,0,0,10,10,30,50,60,80
17ASH20013,0,0,,20,30,60,90,100,100,100,100,100
17ASH20014,0,20,,40,50,80,100,100,100,100,100,100
17ASH20015,0,0,,10,30,50,80,100,100,100,100,100
17ASH20016,20,50,,50,60,90,100,100,100,100,100,100
17ASH20017,0,0,,20,40,70,90,90,90,100,100,100
17ASH20018,0,0,,0,0,0,0,0,10,20,30,60
17ASH20019,0,20,,40,50,70,90,100,100,100,100,100
17ASH20020,0,0,,10,10,30,30,30,20,20,30,60
17ASH20021,10,20,,40,70,100,100,100,100,100,100,100
17ASH20022,10,50,,70,80,100,100,100,100,100,100,100
17ASH20023,0,10,,30,40,50,80,90,100,100,100,100
17ASH20024,0,0,,0,10,10,40,60,90,100,100,100
17ASH20025,0,0,,0,0,0,10,10,10,20,50,80
17ASH20026,0,20,,40,50,80,100,100,100,100,100,100
17ASH20027,0,0,,20,20,30,30,30,30,30,40,60
17ASH20028,0,0,,0,10,20,30,30,60,90,90,100
17ASH20029,0,0,,10,20,30,70,90,100,100,100,100
17ASH20030,0,30,,40,50,80,100,100,100,100,100,100
17ASH20031,0,40,,50,70,100,100,100,100,100,100,100
17ASH20032,0,20,,40,50,90,100,100,100,100,100,100
17ASH20033,10,50,,70,80,100,100,100,100,100,100,100
17ASH20034,0,10,,40,50,80,100,100,100,100,100,100
17ASH20035,0,0,,10,10,10,10,10,30,60,80,100
17ASH20036,0,30,,40,50,90,100,100,100,100,100,100
17ASH20037,0,0,,0,0,0,10,20,50,80,90,100
17ASH20038,30,60,,70,80,100,100,100,100,100,100,100
17ASH20039,0,0,,30,50,70,90,100,100,100,100,100
17ASH20040,0,0,,10,30,50,80,90,100,100,100,100
17ASH20041,0,20,,40,50,70,90,100,100,100,100,100
17ASH20042,0,0,,0,0,0,10,10,30,30,50,80
17ASH20043,0,0,,10,30,40,70,90,100,100,100,100
17ASH20044,0,0,,20,20,30,30,30,40,40,50,70
17ASH20045,0,0,,20,30,50,80,90,100,100,100,100
17ASH20046,40,70,,100,100,100,100,100,100,100,100,100
17ASH20047,0,20,,40,60,90,100,100,100,100,100,100
17ASH20048,0,40,,70,70,90,100,100,100,100,100,100
17ASH20049,0,0,,10,20,20,40,60,90,100,100,100
17ASH20050,0,10,,30,40,50,70,90,100,100,100,100
17ASH20051,0,40,,60,80,100,100,100,100,100,100,100
17ASH20052,0,40,,70,70,90,100,100,100,100,100,100
17ASH20053,10,40,,60,70,100,100,100,100,100,100,100
17ASH20054,0,20,,40,60,90,100,100,100,100,100,100
17ASH20055,0,20,,30,50,80,100,100,100,100,100,100
17ASH20056,0,20,,40,50,80,100,100,100,100,100,100
17ASH20057,0,0,,0,0,0,10,10,40,70,90,100
17ASH20058,0,10,,30,40,50,70,90,100,100,100,100
17ASH20059,0,20,,40,60,100,100,100,100,100,100,100
17ASH20060,0,0,,10,10,20,20,30,30,30,50,80
17ASH20061,0,40,,60,80,100,100,100,100,100,100,100
17ASH20062,0,0,,0,0,0,0,0,30,50,70,90
17ASH20063,0,0,,20,20,20,50,60,100,100,100,100
17ASH20064,0,30,,40,50,70,100,100,100,100,100,100
17ASH20065,0,10,,40,60,100,100,100,100,100,100,100
17ASH20066,0,0,,10,30,40,60,70,100,100,100,100
17ASH20067,0,10,,20,30,50,70,80,100,100,100,100
17ASH20068,0,30,,50,60,90,100,100,100,100,100,100
17ASH20069,0,0,,0,0,0,0,0,10,20,40,70
17ASH20070,0,10,,40,60,100,100,100,100,100,100,100
17ASH20071,20,40,,70,70,100,100,100,100,100,100,100
17ASH20072,0,0,,0,0,0,10,10,40,50,60,90
17ASH20073,0,10,,30,50,80,100,100,100,100,100,100
17ASH20074,0,0,,0,0,0,0,20,60,80,90,100
17ASH20075,0,0,,0,0,0,0,0,10,30,50,80
17ASH20076,10,50,,70,70,100,100,100,100,100,100,100
17ASH20077,20,60,,70,70,100,100,100,100,100,100,100
17ASH20078,,0,,0,0,0,0,0,10,30,60,90
17ASH20079,0,20,,50,60,90,100,100,100,100,100,100
17ASH20080,0,0,,10,10,20,20,20,10,30,50,70
17ASH20081,0,40,,60,70,100,100,100,100,100,100,100
17ASH20082,0,0,,0,0,0,0,0,0,10,40,70
17ASH20083,0,0,,20,20,40,60,80,100,100,100,100
17ASH20084,0,0,,30,40,60,90,100,100,100,100,100
17ASH20085,0,10,,40,50,90,100,100,100,100,100,100
17ASH20086,0,0,,0,0,10,20,30,50,80,100,100
17ASH20087,0,20,,40,50,70,100,100,100,100,100,100
17ASH20088,0,0,,0,0,10,20,20,50,80,100,100
17ASH20089,10,40,,70,70,100,100,100,100,100,100,100
17ASH20090,0,0,,0,0,0,0,20,50,80,100,100
17ASH20091,0,0,,0,,,,,,,,
17ASH20092,0,0,,0,,,,,,,,
17ASH20093,0,0,,0,0,10,10,10,10,20,50,80
17ASH20094,0,0,,20,30,60,70,90,100,100,100,100
17ASH20095,0,10,,40,50,90,100,100,100,100,100,100
17ASH20096,0,0,,10,10,40,80,100,100,100,100,100
17ASH20097,20,60,,70,70,100,100,100,100,100,100,100
17ASH20098,0,20,,40,50,60,90,100,100,100,100,100
17ASH20099,0,0,,0,0,0,0,0,30,50,80,100
17ASH20100,0,0,,0,0,10,40,50,90,100,100,100
17ASH20101,0,0,,0,10,30,60,90,100,100,100,100
17ASH20102,0,20,,40,40,60,90,90,100,100,100,100
17ASH20103,0,30,,50,50,80,100,100,100,100,100,100
17ASH20104,0,10,,10,10,20,20,30,50,70,100,100
17ASH20105,20,60,,100,100,100,100,100,100,100,100,100
17ASH20106,0,10,,30,40,60,90,100,100,100,100,100
17ASH20107,10,50,,70,80,100,100,100,100,100,100,100
17ASH20108,0,0,,20,30,60,90,100,100,100,100,100
17ASH20109,30,70,,100,100,100,100,100,100,100,100,100
17ASH20110,0,0,,0,0,0,0,0,0,10,30,40
17ASH20111,0,0,,0,10,30,70,90,100,100,100,100
17ASH20112,0,0,,0,0,0,0,10,40,60,80,100
17ASH20113,0,0,,10,10,20,30,30,30,50,70,70
17ASH20114,0,0,,0,10,20,50,60,90,100,100,100
17ASH20115,0,40,,60,70,100,100,100,100,100,100,100
17ASH20116,0,0,,20,30,50,80,90,100,100,100,100
17ASH20117,0,20,,30,50,70,90,100,100,100,100,100
17ASH20118,0,0,,0,0,0,0,0,10,40,70,90
17ASH20119,30,60,,70,80,100,100,100,100,100,100,100
17ASH20120,0,0,,0,0,0,10,20,60,90,100,100
17ASH20121,0,10,,30,50,90,100,100,100,100,100,100
17ASH20122,0,0,,10,20,40,70,100,100,100,100,100
17ASH20123,0,0,,10,10,30,60,90,100,100,100,100
