"plot_id","range","column","plot_name","rep","block","phenotype_id","trait_id","phenotype_value","phenotype_date","phenotype_person","notes","meta_data","meta_type","sampling_datetime","sampling_time","sampling_date"
"18ASH3-F-0000",0,0,"Everest",1,0,1812838,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:27","2018-06-26"
"18ASH3-F-0001",0,1,"Everest",1,0,1812839,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:26","2018-06-26"
"18ASH3-F-0002",0,2,"Everest",1,0,1812840,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:25","2018-06-26"
"18ASH3-F-0003",0,3,"Everest",1,0,1812841,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:25","2018-06-26"
"18ASH3-F-0004",0,4,"Everest",1,0,1812842,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:24","2018-06-26"
"18ASH3-F-0005",0,5,"Everest",1,0,1812843,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:23","2018-06-26"
"18ASH3-F-0006",0,6,"Everest",1,0,1812844,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:22","2018-06-26"
"18ASH3-F-0007",0,7,"Everest",1,0,1812845,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:22","2018-06-26"
"18ASH3-F-0008",0,8,"Everest",1,0,1812846,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:21","2018-06-26"
"18ASH3-F-0009",0,9,"Everest",1,0,1812847,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:20","2018-06-26"
"18ASH3-F-0010",0,10,"Everest",1,0,1812848,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:19","2018-06-26"
"18ASH3-F-0011",0,11,"Everest",1,0,1812849,"AWNS","Awned",2018-06-26,"byron_evers","","","","2018-06-26 15:36:00","15:36:19","2018-06-26"
