"plot_id","range","column","plot_name","rep","block"
"16ASH20001",1,1,"U6202-099",1,1
"16ASH20002",1,2,"U6202-059",1,1
"16ASH20003",1,3,"U6202-144",1,1
"16ASH20004",1,4,"U6202-255",1,1
"16ASH20005",1,5,"U6202-277",1,1
"16ASH20006",1,6,"U6202-259",1,1
"16ASH20007",1,7,"U6202-128",1,1
"16ASH20008",1,8,"U6202-150",1,1
"16ASH20009",1,9,"U6202-283",1,1
"16ASH20010",1,10,"U6202-068",1,1
"16ASH20011",1,11,"U6202-013",1,1
"16ASH20012",1,12,"U6202-295",1,1
"16ASH20013",1,13,"U6202-315",1,1
"16ASH20014",1,14,"U6202-012",1,1
"16ASH20015",1,15,"U6202-028",1,1
"16ASH20016",1,16,"U6202-170",1,1
"16ASH20017",1,17,"U6202-021",1,1
"16ASH20018",2,17,"U6202-225",1,1
"16ASH20019",2,16,"U6202-245",1,1
"16ASH20020",2,15,"U6202-336",1,1
"16ASH20021",2,14,"U6202-266",1,1
"16ASH20022",2,13,"FULLER",1,1
"16ASH20023",2,12,"LAKIN",1,1
"16ASH20024",2,11,"U6202-019",1,1
"16ASH20025",2,10,"U6202-312",1,1
"16ASH20026",2,9,"U6202-185",1,1
"16ASH20027",2,8,"U6202-362",1,1
"16ASH20028",2,7,"U6202-023",1,1
"16ASH20029",2,6,"U6202-248",1,1
"16ASH20030",2,5,"U6202-018",1,1
"16ASH20031",2,4,"U6202-341",1,1
"16ASH20032",2,3,"U6202-291",1,1
"16ASH20033",2,2,"U6202-227",1,1
"16ASH20034",2,1,"U6202-136",1,1
"16ASH20035",3,1,"U6202-083",1,2
"16ASH20036",3,2,"U6202-113",1,2
"16ASH20037",3,3,"U6202-066",1,2
"16ASH20038",3,4,"U6202-062",1,2
"16ASH20039",3,5,"U6202-288",1,2
"16ASH20040",3,6,"U6202-351",1,2
"16ASH20041",3,7,"U6202-198",1,2
"16ASH20042",3,8,"U6202-177",1,2
"16ASH20043",3,9,"FULLER",1,2
"16ASH20044",3,10,"LAKIN",1,2
"16ASH20045",3,11,"U6202-300",1,2
"16ASH20046",3,12,"U6202-050",1,2
"16ASH20047",3,13,"U6202-120",1,2
"16ASH20048",3,14,"U6202-338",1,2
"16ASH20049",3,15,"U6202-357",1,2
"16ASH20050",3,16,"U6202-134",1,2
"16ASH20051",3,17,"U6202-047",1,2
"16ASH20052",4,17,"U6202-146",1,2
"16ASH20053",4,16,"U6202-078",1,2
"16ASH20054",4,15,"U6202-119",1,2
"16ASH20055",4,14,"U6202-307",1,2
"16ASH20056",4,13,"U6202-067",1,2
"16ASH20057",4,12,"U6202-199",1,2
"16ASH20058",4,11,"U6202-344",1,2
"16ASH20059",4,10,"U6202-320",1,2
"16ASH20060",4,9,"U6202-102",1,2
"16ASH20061",4,8,"U6202-057",1,2
"16ASH20062",4,7,"U6202-271",1,2
"16ASH20063",4,6,"U6202-101",1,2
"16ASH20064",4,5,"U6202-281",1,2
"16ASH20065",4,4,"U6202-243",1,2
"16ASH20066",4,3,"U6202-048",1,2
"16ASH20067",4,2,"U6202-334",1,2
"16ASH20068",4,1,"U6202-052",1,2
"16ASH20069",5,1,"U6202-175",1,3
"16ASH20070",5,2,"U6202-173",1,3
"16ASH20071",5,3,"U6202-274",1,3
"16ASH20072",5,4,"U6202-105",1,3
"16ASH20073",5,5,"U6202-325",1,3
"16ASH20074",5,6,"U6202-229",1,3
"16ASH20075",5,7,"U6202-011",1,3
"16ASH20076",5,8,"U6202-157",1,3
"16ASH20077",5,9,"U6202-278",1,3
"16ASH20078",5,10,"U6202-010",1,3
"16ASH20079",5,11,"U6202-164",1,3
"16ASH20080",5,12,"U6202-020",1,3
"16ASH20081",5,13,"U6202-015",1,3
"16ASH20082",5,14,"U6202-209",1,3
"16ASH20083",5,15,"U6202-094",1,3
"16ASH20084",5,16,"U6202-324",1,3
"16ASH20085",5,17,"U6202-168",1,3
"16ASH20086",6,17,"U6202-042",1,3
"16ASH20087",6,16,"U6202-363",1,3
"16ASH20088",6,15,"U6202-109",1,3
"16ASH20089",6,14,"U6202-311",1,3
"16ASH20090",6,13,"U6202-061",1,3
"16ASH20091",6,12,"U6202-342",1,3
"16ASH20092",6,11,"U6202-294",1,3
"16ASH20093",6,10,"LAKIN",1,3
"16ASH20094",6,9,"U6202-290",1,3
"16ASH20095",6,8,"U6202-210",1,3
"16ASH20096",6,7,"U6202-141",1,3
"16ASH20097",6,6,"U6202-035",1,3
"16ASH20098",6,5,"U6202-133",1,3
"16ASH20099",6,4,"FULLER",1,3
"16ASH20100",6,3,"U6202-088",1,3
"16ASH20101",6,2,"U6202-194",1,3
"16ASH20102",6,1,"U6202-154",1,3
"16ASH20103",7,1,"U6202-366",1,4
"16ASH20104",7,2,"U6202-038",1,4
"16ASH20105",7,3,"U6202-142",1,4
"16ASH20106",7,4,"U6202-148",1,4
"16ASH20107",7,5,"U6202-117",1,4
"16ASH20108",7,6,"U6202-361",1,4
"16ASH20109",7,7,"U6202-192",1,4
"16ASH20110",7,8,"BLANK",1,4
"16ASH20111",7,9,"U6202-079",1,4
"16ASH20112",7,10,"U6202-310",1,4
"16ASH20113",7,11,"U6202-282",1,4
"16ASH20114",7,12,"U6202-130",1,4
"16ASH20115",7,13,"U6202-330",1,4
"16ASH20116",7,14,"U6202-231",1,4
"16ASH20117",7,15,"U6202-305",1,4
"16ASH20118",7,16,"U6202-238",1,4
"16ASH20119",7,17,"U6202-181",1,4
"16ASH20120",8,17,"U6202-153",1,4
"16ASH20121",8,16,"U6202-191",1,4
"16ASH20122",8,15,"U6202-009",1,4
"16ASH20123",8,14,"FULLER",1,4
"16ASH20124",8,13,"U6202-039",1,4
"16ASH20125",8,12,"U6202-174",1,4
"16ASH20126",8,11,"U6202-180",1,4
"16ASH20127",8,10,"LAKIN",1,4
"16ASH20128",8,9,"U6202-258",1,4
"16ASH20129",8,8,"U6202-033",1,4
"16ASH20130",8,7,"U6202-131",1,4
"16ASH20131",8,6,"U6202-145",1,4
"16ASH20132",8,5,"U6202-207",1,4
"16ASH20133",8,4,"U6202-340",1,4
"16ASH20134",8,3,"U6202-176",1,4
"16ASH20135",8,2,"U6202-254",1,4
"16ASH20136",8,1,"U6202-115",1,4
"16ASH20137",9,1,"U6202-211",1,5
"16ASH20138",9,2,"U6202-030",1,5
"16ASH20139",9,3,"U6202-034",1,5
"16ASH20140",9,4,"FULLER",1,5
"16ASH20141",9,5,"U6202-240",1,5
"16ASH20142",9,6,"U6202-046",1,5
"16ASH20143",9,7,"U6202-166",1,5
"16ASH20144",9,8,"U6202-285",1,5
"16ASH20145",9,9,"U6202-214",1,5
"16ASH20146",9,10,"U6202-256",1,5
"16ASH20147",9,11,"LAKIN",1,5
"16ASH20148",9,12,"U6202-132",1,5
"16ASH20149",9,13,"U6202-165",1,5
"16ASH20150",9,14,"U6202-224",1,5
"16ASH20151",9,15,"U6202-076",1,5
"16ASH20152",9,16,"U6202-326",1,5
"16ASH20153",9,17,"U6202-137",1,5
"16ASH20154",10,17,"U6202-292",1,5
"16ASH20155",10,16,"U6202-110",1,5
"16ASH20156",10,15,"U6202-169",1,5
"16ASH20157",10,14,"U6202-261",1,5
"16ASH20158",10,13,"U6202-044",1,5
"16ASH20159",10,12,"U6202-239",1,5
"16ASH20160",10,11,"U6202-197",1,5
"16ASH20161",10,10,"U6202-293",1,5
"16ASH20162",10,9,"U6202-188",1,5
"16ASH20163",10,8,"U6202-331",1,5
"16ASH20164",10,7,"U6202-060",1,5
"16ASH20165",10,6,"U6202-163",1,5
"16ASH20166",10,5,"U6202-316",1,5
"16ASH20167",10,4,"U6202-257",1,5
"16ASH20168",10,3,"U6202-232",1,5
"16ASH20169",10,2,"U6202-296",1,5
"16ASH20170",10,1,"U6202-124",1,5
"16ASH20171",11,1,"U6202-250",1,6
"16ASH20172",11,2,"U6202-308",1,6
"16ASH20173",11,3,"U6202-032",1,6
"16ASH20174",11,4,"U6202-122",1,6
"16ASH20175",11,5,"U6202-040",1,6
"16ASH20176",11,6,"U6202-025",1,6
"16ASH20177",11,7,"U6202-084",1,6
"16ASH20178",11,8,"U6202-064",1,6
"16ASH20179",11,9,"U6202-280",1,6
"16ASH20180",11,10,"U6202-001",1,6
"16ASH20181",11,11,"U6202-112",1,6
"16ASH20182",11,12,"U6202-241",1,6
"16ASH20183",11,13,"U6202-264",1,6
"16ASH20184",11,14,"U6202-097",1,6
"16ASH20185",11,15,"LAKIN",1,6
"16ASH20186",11,16,"U6202-069",1,6
"16ASH20187",11,17,"U6202-082",1,6
"16ASH20188",12,17,"U6202-187",1,6
"16ASH20189",12,16,"U6202-306",1,6
"16ASH20190",12,15,"U6202-253",1,6
"16ASH20191",12,14,"U6202-031",1,6
"16ASH20192",12,13,"U6202-217",1,6
"16ASH20193",12,12,"U6202-127",1,6
"16ASH20194",12,11,"U6202-161",1,6
"16ASH20195",12,10,"U6202-319",1,6
